A1,A2,A3,A4,PrestateA1,PrestateA2,PrestateA3,PrestateA4,BacknodeA1,BacknodeA2,BacknodeA3,BacknodeA4,Light,0.853931754,A1,A2,A3,A4
1,2,3,4,0,0,1,1,1,0,0,1,A4,0.581729198,6,47,157,372
1,2,3,4,0,0,1,1,1,0,1,0,A4,0.705364723,7,28,190,226
1,2,3,4,0,0,1,1,1,0,1,1,A4,0.192772351,2,15,52,93
1,2,3,4,0,0,1,1,1,1,0,0,A4,0.490710681,5,20,44,157
1,2,3,4,0,0,1,1,1,1,0,1,A4,0.845883375,8,68,228,135
1,2,3,4,0,0,1,1,1,1,1,0,A4,0.573633381,6,46,155,367
1,2,3,4,0,0,1,1,1,1,1,1,A4,0.131832683,1,5,36,84
1,2,3,4,0,1,0,0,0,0,0,0,A4,0.779714626,8,62,211,250
1,2,3,4,0,1,0,0,0,0,0,1,A4,0.479627781,5,19,129,77
1,2,3,4,0,1,0,0,0,0,1,0,A4,0.362234975,4,29,98,58
1,2,3,4,0,1,0,0,0,0,1,1,A4,0.931379059,9,37,168,298
1,2,3,4,0,1,0,0,0,1,0,0,A4,0.787766124,8,63,71,504
1,2,3,4,0,1,0,0,0,1,0,1,A4,0.613127458,6,49,110,98
1,2,3,4,0,1,0,0,0,1,1,0,A4,0.078314327,1,6,21,38
1,2,3,4,0,1,0,0,0,1,1,1,A4,0.398348964,4,32,36,255
1,2,3,4,0,1,0,0,1,0,0,0,A4,0.23307034,2,9,42,75
1,2,3,4,0,1,0,0,1,0,0,1,A4,0.307435516,3,12,55,197
1,2,3,4,0,1,0,0,1,0,1,0,A4,0.879309766,9,35,158,141
1,2,3,4,0,1,0,0,1,0,1,1,A4,0.03292177,0,1,6,5
1,2,3,4,0,1,0,0,1,1,0,0,A4,0.975589754,10,78,263,156
1,2,3,4,0,1,0,0,1,1,0,1,A4,0.638893843,6,51,58,102
1,2,3,4,0,1,0,0,1,1,1,0,A4,0.178085449,2,14,48,114
1,2,3,4,0,1,0,0,1,1,1,1,A4,0.911881157,9,36,164,292
1,2,3,4,0,1,0,1,0,0,0,0,A4,0.781835132,8,31,141,125
1,2,3,4,0,1,0,1,0,0,0,1,A3,0.090160431,1,7,24,58
1,2,3,4,0,1,0,1,0,0,1,0,A4,0.892326437,9,71,241,571
1,2,3,4,0,1,0,1,0,0,1,1,A4,0.496217839,5,40,134,238
1,2,3,4,0,1,0,1,0,1,0,0,A4,0.70713879,7,28,64,113
1,2,3,4,0,1,0,1,0,1,0,1,A3,0.520970145,5,42,141,83
1,2,3,4,0,1,0,1,0,1,1,0,A4,0.834969092,8,33,75,134
1,2,3,4,0,1,0,1,0,1,1,1,A4,0.859962244,9,34,232,275
1,2,3,4,0,1,0,1,1,0,0,0,A4,0.068822805,1,6,12,44
1,2,3,4,0,1,0,1,1,0,0,1,A3,0.999443281,10,80,270,480
1,2,3,4,0,1,0,1,1,0,1,0,A4,0.24478247,2,10,22,39
1,2,3,4,0,1,0,1,1,0,1,1,A4,0.544406102,5,44,147,348
1,2,3,4,0,1,0,1,1,1,0,0,A4,0.553244753,6,22,50,177
1,2,3,4,0,1,0,1,1,1,0,1,A3,0.719599459,7,29,194,230
1,2,3,4,0,1,0,1,1,1,1,0,A4,0.800013591,8,32,144,512
1,2,3,4,0,1,0,1,1,1,1,1,A4,0.268339198,3,11,72,86
1,2,3,4,0,1,1,0,0,0,0,0,A4,0.01547227,0,1,1,10
1,2,3,4,0,1,1,0,0,0,0,1,A4,0.91479001,9,37,82,293
1,2,3,4,0,1,1,0,0,0,1,0,A4,0.450962365,5,36,41,216
1,2,3,4,0,1,1,0,0,0,1,1,A4,0.256107965,3,10,46,164
1,2,3,4,0,1,1,0,0,1,0,0,A4,0.717186859,7,57,65,344
1,2,3,4,0,1,1,0,0,1,0,1,A4,0.02420501,0,1,7,15
1,2,3,4,0,1,1,0,0,1,1,0,A4,0.667295211,7,27,60,107
1,2,3,4,0,1,1,0,0,1,1,1,A4,0.345858682,3,14,93,111
1,2,3,4,0,1,1,0,1,0,0,0,A4,0.623576499,6,25,112,100
1,2,3,4,0,1,1,0,1,0,0,1,A4,0.134207991,1,11,36,21
1,2,3,4,0,1,1,0,1,0,1,0,A4,0.696056428,7,28,188,223
1,2,3,4,0,1,1,0,1,0,1,1,A4,0.068331202,1,3,6,44
1,2,3,4,0,1,1,0,1,1,0,0,A4,0.623254753,6,25,56,299
1,2,3,4,0,1,1,0,1,1,0,1,A4,0.987448735,10,39,89,632
1,2,3,4,0,1,1,0,1,1,1,0,A4,0.873306905,9,70,236,559
1,2,3,4,0,1,1,0,1,1,1,1,A4,0.065103114,1,5,6,21
1,2,3,4,0,1,1,1,0,0,0,0,A4,0.172239208,2,14,47,55
1,2,3,4,0,1,1,1,0,0,0,1,A4,0.074922713,1,3,13,24
1,2,3,4,0,1,1,1,0,0,1,0,A4,0.613379731,6,25,166,294
1,2,3,4,0,1,1,1,0,0,1,1,A4,0.662281133,7,26,119,424
1,2,3,4,0,1,1,1,0,1,0,0,A4,0.06945907,1,6,6,44
1,2,3,4,0,1,1,1,0,1,0,1,A4,0.494933747,5,20,134,79
1,2,3,4,0,1,1,1,0,1,1,0,A4,0.039497014,0,3,11,25
1,2,3,4,0,1,1,1,0,1,1,1,A4,0.227031853,2,18,41,73
1,2,3,4,0,1,1,1,1,0,0,0,A4,0.436936508,4,35,118,140
1,2,3,4,0,1,1,1,1,0,0,1,A4,0.166475423,2,7,45,80
1,2,3,4,0,1,1,1,1,0,1,0,A4,0.764221105,8,61,206,122
1,2,3,4,0,1,1,1,1,0,1,1,A4,0.828564654,8,33,224,530
1,2,3,4,0,1,1,1,1,1,0,0,A4,0.668563853,7,27,60,107
1,2,3,4,0,1,1,1,1,1,0,1,A4,0.308346382,3,12,56,197
1,2,3,4,0,1,1,1,1,1,1,0,A4,0.40082984,4,16,108,257
1,2,3,4,0,1,1,1,1,1,1,1,A4,0.268753636,3,22,73,86
1,2,3,4,1,0,0,0,0,0,0,0,A4,0.527274737,5,21,142,337
1,2,3,4,1,0,0,0,0,0,0,1,A4,0.724908496,7,58,130,348
1,2,3,4,1,0,0,0,0,0,1,0,A4,0.671730944,7,54,121,430
1,2,3,4,1,0,0,0,0,0,1,1,A4,0.056107343,1,4,10,27
1,2,3,4,1,0,0,0,0,1,0,0,A4,0.847016146,8,34,152,542
1,2,3,4,1,0,0,0,0,1,0,1,A4,0.280040674,3,11,76,134
1,2,3,4,1,0,0,0,0,1,1,0,A4,0.777652114,8,31,140,124
1,2,3,4,1,0,0,0,0,1,1,1,A4,0.149447788,1,12,27,24
1,2,3,4,1,0,0,0,1,0,0,0,A4,0.654303549,7,26,118,419
1,2,3,4,1,0,0,0,1,0,0,1,A4,0.790058851,8,63,213,253
1,2,3,4,1,0,0,0,1,0,1,0,A4,0.215777342,2,9,19,35
1,2,3,4,1,0,0,0,1,0,1,1,A4,0.191174143,2,8,34,61
1,2,3,4,1,0,0,0,1,1,0,0,A4,0.753184232,8,30,203,362
1,2,3,4,1,0,0,0,1,1,0,1,A4,0.90493293,9,72,163,579
1,2,3,4,1,0,0,0,1,1,1,0,A4,0.28607095,3,11,51,46
1,2,3,4,1,0,0,0,1,1,1,1,A4,0.884209262,9,71,239,566
1,2,3,4,1,0,0,1,0,0,0,0,A4,0.140341874,1,6,13,90
1,2,3,4,1,0,0,1,0,0,0,1,A3,0.409106528,4,16,37,131
1,2,3,4,1,0,0,1,0,0,1,0,A4,0.207525241,2,17,56,133
1,2,3,4,1,0,0,1,0,0,1,1,A4,0.811713054,8,32,219,260
1,2,3,4,1,0,0,1,0,1,0,0,A4,0.803821121,8,64,72,257
1,2,3,4,1,0,0,1,0,1,0,1,A3,0.129740955,1,5,12,83
1,2,3,4,1,0,0,1,0,1,1,0,A4,0.269187277,3,11,73,172
1,2,3,4,1,0,0,1,0,1,1,1,A4,0.365980478,4,15,66,234
1,2,3,4,1,0,0,1,1,0,0,0,A4,0.992866071,10,79,179,635
1,2,3,4,1,0,0,1,1,0,0,1,A3,0.13235203,1,5,24,21
1,2,3,4,1,0,0,1,1,0,1,0,A4,0.977529241,10,39,88,313
1,2,3,4,1,0,0,1,1,0,1,1,A4,0.209322307,2,17,19,67
1,2,3,4,1,0,0,1,1,1,0,0,A4,0.431448098,4,35,39,69
1,2,3,4,1,0,0,1,1,1,0,1,A3,0.545291,5,22,49,174
1,2,3,4,1,0,0,1,1,1,1,0,A4,0.117430741,1,5,11,19
1,2,3,4,1,0,0,1,1,1,1,1,A4,0.491737382,5,20,44,157
1,2,3,4,1,0,1,0,0,0,0,0,A4,0.492197981,5,20,44,236
1,2,3,4,1,0,1,0,0,0,0,1,A4,0.054900961,1,2,5,18
1,2,3,4,1,0,1,0,0,0,1,0,A4,0.227993736,2,18,41,146
1,2,3,4,1,0,1,0,0,0,1,1,A4,0.195855292,2,8,35,63
1,2,3,4,1,0,1,0,0,1,0,0,A4,0.488571059,5,20,44,235
1,2,3,4,1,0,1,0,0,1,0,1,A4,0.400308247,4,32,108,64
1,2,3,4,1,0,1,0,0,1,1,0,A4,0.172931433,2,14,31,111
1,2,3,4,1,0,1,0,0,1,1,1,A4,0.21932935,2,18,59,140
1,2,3,4,1,0,1,0,1,0,0,0,A4,0.027372468,0,1,2,13
1,2,3,4,1,0,1,0,1,0,0,1,A4,0.264453259,3,11,71,85
1,2,3,4,1,0,1,0,1,0,1,0,A4,0.456228113,5,18,82,73
1,2,3,4,1,0,1,0,1,0,1,1,A4,0.733014583,7,29,66,117
1,2,3,4,1,0,1,0,1,1,0,0,A4,0.784093942,8,31,141,376
1,2,3,4,1,0,1,0,1,1,0,1,A4,0.719347138,7,29,194,345
1,2,3,4,1,0,1,0,1,1,1,0,A4,0.528084496,5,42,95,253
1,2,3,4,1,0,1,0,1,1,1,1,A4,0.149925314,1,12,27,48
1,2,3,4,1,0,1,1,0,0,0,0,A4,0.832621575,8,33,150,133
1,2,3,4,1,0,1,1,0,0,0,1,A4,0.066203437,1,3,18,21
1,2,3,4,1,0,1,1,0,0,1,0,A4,0.20446204,2,16,18,65
1,2,3,4,1,0,1,1,0,0,1,1,A4,0.732655992,7,29,198,469
1,2,3,4,1,0,1,1,0,1,0,0,A4,0.686332482,7,27,124,439
1,2,3,4,1,0,1,1,0,1,0,1,A4,0.100151279,1,8,18,64
1,2,3,4,1,0,1,1,0,1,1,0,A4,0.95402022,10,38,258,153
1,2,3,4,1,0,1,1,0,1,1,1,A4,0.46903426,5,38,84,300
1,2,3,4,1,0,1,1,1,0,0,0,A4,0.734414149,7,59,198,235
1,2,3,4,1,0,1,1,1,0,0,1,A4,0.48054972,5,38,130,231
1,2,3,4,1,0,1,1,1,0,1,0,A4,0.644655305,6,52,116,413
1,2,3,4,1,0,1,1,1,0,1,1,A4,0.36967455,4,15,100,59
1,2,3,4,1,0,1,1,1,1,0,0,A4,0.489601565,5,20,88,313
1,2,3,4,1,0,1,1,1,1,0,1,A4,0.898673338,9,72,162,144
1,2,3,4,1,0,1,1,1,1,1,0,A4,0.947066839,9,76,170,303
1,2,3,4,1,0,1,1,1,1,1,1,A4,0.282178538,3,11,76,90
1,2,3,4,1,1,0,0,0,0,0,0,A4,0.891435142,9,36,241,428
1,2,3,4,1,1,0,0,0,0,0,1,A4,0.075439964,1,6,7,36
1,2,3,4,1,1,0,0,0,0,1,0,A4,0.023659207,0,1,6,15
1,2,3,4,1,1,0,0,0,0,1,1,A4,0.306274102,3,25,28,147
1,2,3,4,1,1,0,0,0,1,0,0,A4,0.487021002,5,39,88,312
1,2,3,4,1,1,0,0,0,1,0,1,A4,0.610019282,6,49,110,195
1,2,3,4,1,1,0,0,0,1,1,0,A4,0.195457893,2,8,35,125
1,2,3,4,1,1,0,0,0,1,1,1,A4,0.562512184,6,23,51,270
1,2,3,4,1,1,0,0,1,0,0,0,A4,0.067390302,1,5,12,43
1,2,3,4,1,1,0,0,1,0,0,1,A4,0.149435596,1,12,27,48
1,2,3,4,1,1,0,0,1,0,1,0,A4,0.980848255,10,78,177,157
1,2,3,4,1,1,0,0,1,0,1,1,A4,0.313152889,3,25,85,200
1,2,3,4,1,1,0,0,1,1,0,0,A4,0.107749157,1,4,29,34
1,2,3,4,1,1,0,0,1,1,0,1,A4,0.512197481,5,41,46,82
1,2,3,4,1,1,0,0,1,1,1,0,A4,0.945289169,9,76,170,302
1,2,3,4,1,1,0,0,1,1,1,1,A4,0.155534676,2,12,14,50
1,2,3,4,1,1,0,1,0,0,0,0,A4,0.637953464,6,26,115,408
1,2,3,4,1,1,0,1,0,0,0,1,A3,0.487065486,5,19,88,234
1,2,3,4,1,1,0,1,0,0,1,0,A4,0.975248634,10,39,263,312
1,2,3,4,1,1,0,1,0,0,1,1,A4,0.867403687,9,69,234,278
1,2,3,4,1,1,0,1,0,1,0,0,A4,0.53588416,5,21,96,257
1,2,3,4,1,1,0,1,0,1,0,1,A3,0.209241804,2,17,56,100
1,2,3,4,1,1,0,1,0,1,1,0,A4,0.732735319,7,29,132,234
1,2,3,4,1,1,0,1,0,1,1,1,A4,0.05899754,1,2,5,28
1,2,3,4,1,1,0,1,1,0,0,0,A4,0.078559266,1,6,14,50
1,2,3,4,1,1,0,1,1,0,0,1,A3,0.780342003,8,31,211,125
1,2,3,4,1,1,0,1,1,0,1,0,A4,0.23322784,2,9,63,37
1,2,3,4,1,1,0,1,1,0,1,1,A4,0.318510909,3,13,29,102
1,2,3,4,1,1,0,1,1,1,0,0,A4,0.933086315,9,37,252,597
1,2,3,4,1,1,0,1,1,1,0,1,A3,0.493290072,5,39,89,237
1,2,3,4,1,1,0,1,1,1,1,0,A4,0.609588425,6,24,110,293
1,2,3,4,1,1,0,1,1,1,1,1,A4,0.703652511,7,28,63,225
1,2,3,4,1,1,1,0,0,0,0,0,A4,0.293072234,3,23,26,188
1,2,3,4,1,1,1,0,0,0,0,1,A4,0.059328029,1,5,5,28
1,2,3,4,1,1,1,0,0,0,1,0,A4,0.206928145,2,17,19,33
1,2,3,4,1,1,1,0,0,0,1,1,A4,0.236759157,2,19,21,152
1,2,3,4,1,1,1,0,0,1,0,0,A4,0.072234051,1,6,13,46
1,2,3,4,1,1,1,0,0,1,0,1,A4,0.776280527,8,31,210,124
1,2,3,4,1,1,1,0,0,1,1,0,A4,0.189433383,2,8,51,61
1,2,3,4,1,1,1,0,0,1,1,1,A4,0.353329243,4,28,64,57
1,2,3,4,1,1,1,0,1,0,0,0,A4,0.659610232,7,53,59,106
1,2,3,4,1,1,1,0,1,0,0,1,A4,0.163551201,2,13,44,52
1,2,3,4,1,1,1,0,1,0,1,0,A4,0.996751691,10,40,179,478
1,2,3,4,1,1,1,0,1,0,1,1,A4,0.279376566,3,11,50,89
1,2,3,4,1,1,1,0,1,1,0,0,A4,0.116471348,1,5,31,37
1,2,3,4,1,1,1,0,1,1,0,1,A4,0.681728568,7,55,184,327
1,2,3,4,1,1,1,0,1,1,1,0,A4,0.80871535,8,32,73,259
1,2,3,4,1,1,1,0,1,1,1,1,A4,0.854298837,9,68,77,273
1,2,3,4,1,1,1,1,0,0,0,0,A4,0.111022049,1,9,20,36
1,2,3,4,1,1,1,1,0,0,0,1,A4,0.983284996,10,79,88,315
1,2,3,4,1,1,1,1,0,0,1,0,A4,0.533769814,5,43,48,85
1,2,3,4,1,1,1,1,0,0,1,1,A4,0.228790959,2,18,41,110
1,2,3,4,1,1,1,1,0,1,0,0,A4,0.655803696,7,26,177,315
1,2,3,4,1,1,1,1,0,1,0,1,A4,0.006617554,0,1,1,3
1,2,3,4,1,1,1,1,0,1,1,0,A4,0.833359527,8,33,150,400
1,2,3,4,1,1,1,1,0,1,1,1,A4,0.731499993,7,29,66,351
1,2,3,4,1,1,1,1,1,0,0,0,A4,0.142915754,1,6,13,69
1,2,3,4,1,1,1,1,1,0,0,1,A4,0.0801893,1,3,7,51
1,2,3,4,1,1,1,1,1,0,1,0,A4,0.156592469,2,13,14,75
1,2,3,4,1,1,1,1,1,0,1,1,A4,0.371407556,4,15,33,59
1,2,3,4,1,1,1,1,1,1,0,0,A4,0.906368832,9,73,82,435
1,2,3,4,1,1,1,1,1,1,0,1,A4,0.701936929,7,56,126,337
1,2,3,4,1,1,1,1,1,1,1,0,A4,0.226058838,2,18,20,72
1,2,3,4,1,1,1,1,1,1,1,1,A4,0.415392922,4,17,75,66
1,2,4,3,0,0,0,0,0,0,0,0,A3,0.494484834,5,20,158,45
1,2,4,3,0,0,0,0,0,0,0,1,A3,0.201915337,2,16,129,18
1,2,4,3,0,0,0,0,0,0,1,0,A3,0.810577137,8,32,259,146
1,2,4,3,0,0,0,0,0,0,1,1,A3,0.191878032,2,8,92,17
1,2,4,3,0,0,0,0,0,1,0,0,A3,0.58393363,6,47,93,53
1,2,4,3,0,0,0,0,0,1,0,1,A3,0.348130876,3,28,223,63
1,2,4,3,0,0,0,0,0,1,1,0,A3,0.386966872,4,15,186,35
1,2,4,3,0,0,0,0,0,1,1,1,A3,0.429160285,4,34,206,116
1,2,4,3,0,0,0,0,1,0,0,0,A3,0.15205696,2,12,49,41
1,2,4,3,0,0,0,0,1,0,0,1,A3,0.123082343,1,5,20,33
1,2,4,3,0,0,0,0,1,0,1,0,A3,0.576065129,6,23,184,52
1,2,4,3,0,0,0,0,1,0,1,1,A3,0.833539747,8,67,533,150
1,2,4,3,0,0,0,0,1,1,0,0,A3,0.903762883,9,36,434,81
1,2,4,3,0,0,0,0,1,1,0,1,A3,0.319560074,3,13,205,29
1,2,4,3,0,0,0,0,1,1,1,0,A3,0.076687131,1,3,25,14
1,2,4,3,0,0,0,0,1,1,1,1,A3,0.19799636,2,16,63,53
1,2,4,3,0,0,0,1,0,0,0,0,A3,0.478931918,5,38,77,86
1,2,4,3,0,0,0,1,0,0,0,1,A3,0.724059527,7,58,232,65
1,2,4,3,0,0,0,1,0,0,1,0,A3,0.563582285,6,23,180,152
1,2,4,3,0,0,0,1,0,0,1,1,A3,0.54891491,5,44,176,148
1,2,4,3,0,0,0,1,0,1,0,0,A3,0.991170484,10,79,476,89
1,2,4,3,0,0,0,1,0,1,0,1,A3,0.422221979,4,17,68,76
1,2,4,3,0,0,0,1,0,1,1,0,A3,0.000692911,0,0,0,0
1,2,4,3,0,0,0,1,0,1,1,1,A3,0.364245396,4,29,58,33
1,2,4,3,0,0,0,1,1,0,0,0,A3,0.198649907,2,8,64,18
1,2,4,3,0,0,0,1,1,0,0,1,A3,0.813914278,8,65,260,220
1,2,4,3,0,0,0,1,1,0,1,0,A3,0.811615223,8,32,260,73
1,2,4,3,0,0,0,1,1,0,1,1,A3,0.739083419,7,30,118,200
1,2,4,3,0,0,0,1,1,1,0,0,A3,0.913831644,9,37,292,82
1,2,4,3,0,0,0,1,1,1,0,1,A3,0.770150351,8,31,370,208
1,2,4,3,0,0,0,1,1,1,1,0,A3,0.842314821,8,67,404,227
1,2,4,3,0,0,0,1,1,1,1,1,A3,0.793771503,8,32,381,214
1,2,4,3,0,0,1,0,0,0,0,0,A3,0.679606147,7,27,435,61
1,2,4,3,0,0,1,0,0,0,0,1,A3,0.694467821,7,56,111,125
1,2,4,3,0,0,1,0,0,0,1,0,A4,0.975700363,10,39,156,176
1,2,4,3,0,0,1,0,0,0,1,1,A3,0.642586526,6,51,411,58
1,2,4,3,0,0,1,0,0,1,0,0,A3,0.426843414,4,34,273,77
1,2,4,3,0,0,1,0,0,1,0,1,A3,0.754145469,8,30,483,136
1,2,4,3,0,0,1,0,0,1,1,0,A4,0.14652445,1,6,94,40
1,2,4,3,0,0,1,0,0,1,1,1,A3,0.224448541,2,9,72,20
1,2,4,3,0,0,1,0,1,0,0,0,A3,0.626862419,6,25,401,56
1,2,4,3,0,0,1,0,1,0,0,1,A3,0.142072343,1,6,45,13
1,2,4,3,0,0,1,0,1,0,1,0,A4,0.064641292,1,3,10,6
1,2,4,3,0,0,1,0,1,0,1,1,A3,0.849236389,8,34,272,229
1,2,4,3,0,0,1,0,1,1,0,0,A3,0.697332566,7,56,223,63
1,2,4,3,0,0,1,0,1,1,0,1,A3,0.980503468,10,78,314,176
1,2,4,3,0,0,1,0,1,1,1,0,A4,0.616392805,6,25,99,55
1,2,4,3,0,0,1,0,1,1,1,1,A3,0.156181805,2,6,50,14
1,2,4,3,0,0,1,1,0,0,0,0,A3,0.328145496,3,26,53,30
1,2,4,3,0,0,1,1,0,0,0,1,A3,0.626687776,6,50,100,56
1,2,4,3,0,0,1,1,0,0,1,0,A3,0.209944845,2,8,34,57
1,2,4,3,0,0,1,1,0,0,1,1,A3,0.634761181,6,51,305,57
1,2,4,3,0,0,1,1,0,1,0,0,A3,0.804921678,8,64,129,217
1,2,4,3,0,0,1,1,0,1,0,1,A3,0.046077668,0,4,15,8
1,2,4,3,0,0,1,1,0,1,1,0,A3,0.867690395,9,35,139,156
1,2,4,3,0,0,1,1,0,1,1,1,A3,0.164245359,2,7,79,15
1,2,4,3,0,0,1,1,1,0,0,0,A3,0.671653519,7,54,430,121
1,2,4,3,0,0,1,1,1,0,0,1,A3,0.998536459,10,40,160,90
1,2,4,3,0,0,1,1,1,0,1,0,A3,0.64360229,6,51,309,58
1,2,4,3,0,0,1,1,1,0,1,1,A3,0.817124346,8,65,131,147
1,2,4,3,0,0,1,1,1,1,0,0,A3,0.879183219,9,70,141,237
1,2,4,3,0,0,1,1,1,1,0,1,A3,0.521107308,5,21,83,47
1,2,4,3,0,0,1,1,1,1,1,0,A3,0.624763516,6,50,400,169
1,2,4,3,0,0,1,1,1,1,1,1,A3,0.272988293,3,22,175,25
1,2,4,3,0,1,0,0,0,0,0,0,A3,0.876105817,9,70,421,237
1,2,4,3,0,1,0,0,0,0,0,1,A3,0.953998302,10,38,458,86
1,2,4,3,0,1,0,0,0,0,1,0,A3,0.976389038,10,39,469,176
1,2,4,3,0,1,0,0,0,0,1,1,A3,0.702642029,7,56,225,126
1,2,4,3,0,1,0,0,0,1,0,0,A3,0.072021786,1,6,35,13
1,2,4,3,0,1,0,0,0,1,0,1,A3,0.645391126,6,52,103,116
1,2,4,3,0,1,0,0,0,1,1,0,A3,0.43612436,4,35,70,118
1,2,4,3,0,1,0,0,0,1,1,1,A3,0.466767162,5,37,149,42
1,2,4,3,0,1,0,0,1,0,0,0,A3,0.424702325,4,34,136,38
1,2,4,3,0,1,0,0,1,0,0,1,A3,0.233566824,2,9,112,42
1,2,4,3,0,1,0,0,1,0,1,0,A3,0.441943845,4,18,212,119
1,2,4,3,0,1,0,0,1,0,1,1,A3,0.722350256,7,58,231,195
1,2,4,3,0,1,0,0,1,1,0,0,A3,0.053142498,1,2,34,5
1,2,4,3,0,1,0,0,1,1,0,1,A3,0.824825615,8,33,528,148
1,2,4,3,0,1,0,0,1,1,1,0,A3,0.623289467,6,25,100,56
1,2,4,3,0,1,0,0,1,1,1,1,A3,0.045207677,0,4,22,4
