A1,A2,A3,A4,PrestateA1,PrestateA2,PrestateA3,PrestateA4,BacknodeA1,BacknodeA2,BacknodeA3,BacknodeA4,Light
9,35,160,567,0,1,1,1,1,0,1,1,A4
3,11,50,176,0,1,1,1,1,1,0,0,A4
9,70,237,422,0,1,1,1,1,1,0,1,A4
3,26,60,106,0,1,1,1,1,1,1,0,A4
4,15,68,121,0,1,1,1,1,1,1,1,A4
3,21,72,170,1,0,0,0,0,0,0,0,A4
4,32,72,64,1,0,0,0,0,0,0,1,A4
2,6,28,25,1,0,0,0,0,0,1,0,A4
8,63,214,380,1,0,0,0,0,0,1,1,A4
6,48,161,381,1,0,0,0,0,1,0,0,A4
1,6,39,23,1,0,0,0,0,1,0,1,A4
2,20,67,159,1,0,0,0,0,1,1,0,A4
8,30,68,121,1,0,0,0,0,1,1,1,A4
1,4,17,31,1,0,0,0,1,0,0,0,A4
2,12,41,48,1,0,0,0,1,0,0,1,A4
2,13,15,26,1,0,0,0,1,0,1,0,A4
8,67,75,267,1,0,0,0,1,0,1,1,A4
1,3,14,25,1,0,0,0,1,1,0,0,A4
3,24,26,47,1,0,0,0,1,1,0,1,A4
1,5,10,36,1,0,0,0,1,1,1,0,A4
6,23,156,371,1,0,0,0,1,1,1,1,A4
2,8,17,30,1,0,0,1,0,0,0,0,A4
8,30,68,487,1,0,0,1,0,0,0,1,A3
3,23,25,180,1,0,0,1,0,0,1,0,A4
2,8,17,92,1,0,0,1,0,0,1,1,A4
7,26,178,316,1,0,0,1,0,1,0,0,A4
2,16,36,32,1,0,0,1,0,1,0,1,A3
1,7,25,45,1,0,0,1,0,1,1,0,A4
6,23,52,275,1,0,0,1,0,1,1,1,A4
9,70,157,140,1,0,0,1,1,0,0,0,A4
10,39,264,156,1,0,0,1,1,0,0,1,A3
6,45,151,359,1,0,0,1,1,0,1,0,A4
9,68,154,137,1,0,0,1,1,0,1,1,A4
8,32,71,506,1,0,0,1,1,1,0,0,A4
4,34,114,68,1,0,0,1,1,1,0,1,A3
4,28,95,56,1,0,0,1,1,1,1,0,A4
2,8,19,133,1,0,0,1,1,1,1,1,A4
6,50,56,100,1,0,1,0,0,0,0,0,A4
8,32,214,381,1,0,1,0,0,0,0,1,A4
9,69,234,278,1,0,1,0,0,0,1,0,A4
10,39,87,309,1,0,1,0,0,0,1,1,A4
3,11,73,130,1,0,1,0,0,1,0,0,A4
5,21,48,255,1,0,1,0,0,1,0,1,A4
6,24,53,378,1,0,1,0,0,1,1,0,A4
2,14,33,116,1,0,1,0,0,1,1,1,A4
6,50,169,200,1,0,1,0,1,0,0,0,A4
6,23,52,187,1,0,1,0,1,0,0,1,A4
6,49,55,197,1,0,1,0,1,0,1,0,A4
2,8,54,128,1,0,1,0,1,0,1,1,A4
7,29,65,232,1,0,1,0,1,1,0,0,A4
4,30,103,244,1,0,1,0,1,1,0,1,A4
10,77,173,614,1,0,1,0,1,1,1,0,A4
8,31,141,250,1,0,1,0,1,1,1,1,A4
1,12,13,48,1,0,1,1,0,0,0,0,A4
5,22,98,261,1,0,1,1,0,0,0,1,A4
3,23,79,47,1,0,1,1,0,0,1,0,A4
0,2,13,8,1,0,1,1,0,0,1,1,A4
2,14,31,28,1,0,1,1,0,1,0,0,A4
9,69,77,138,1,0,1,1,0,1,0,1,A4
2,20,22,39,1,0,1,1,0,1,1,0,A4
5,42,47,84,1,0,1,1,0,1,1,1,A4
10,39,87,620,1,0,1,1,1,0,0,0,A4
7,27,122,109,1,0,1,1,1,0,0,1,A4
3,11,25,89,1,0,1,1,1,0,1,0,A4
4,14,32,229,1,0,1,1,1,0,1,1,A4
6,23,102,362,1,0,1,1,1,1,0,0,A4
5,39,44,78,1,0,1,1,1,1,0,1,A4
7,27,185,220,1,0,1,1,1,1,1,0,A4
5,41,140,83,1,0,1,1,1,1,1,1,A4
3,14,30,108,1,1,0,0,0,0,0,0,A4
9,36,81,143,1,1,0,0,0,0,0,1,A4
8,60,203,361,1,1,0,0,0,0,1,0,A4
7,29,66,117,1,1,0,0,0,0,1,1,A4
8,67,75,268,1,1,0,0,0,1,0,0,A4
7,57,191,226,1,1,0,0,0,1,0,1,A4
3,11,51,136,1,1,0,0,0,1,1,0,A4
0,3,6,11,1,1,0,0,0,1,1,1,A4
7,53,118,315,1,1,0,0,1,0,0,0,A4
5,21,92,82,1,1,0,0,1,0,0,1,A4
1,6,21,24,1,1,0,0,1,0,1,0,A4
9,69,77,137,1,1,0,0,1,0,1,1,A4
2,10,22,159,1,1,0,0,1,1,0,0,A4
10,77,172,613,1,1,0,0,1,1,0,1,A4
3,11,25,89,1,1,0,0,1,1,1,0,A4
5,20,138,245,1,1,0,0,1,1,1,1,A4
2,9,21,146,1,1,0,1,0,0,0,0,A4
1,6,19,23,1,1,0,1,0,0,0,1,A3
8,34,152,540,1,1,0,1,0,0,1,0,A4
7,59,199,473,1,1,0,1,0,0,1,1,A4
6,47,107,190,1,1,0,1,0,1,0,0,A4
8,62,140,374,1,1,0,1,0,1,0,1,A3
2,19,65,155,1,1,0,1,0,1,1,0,A4
1,2,9,32,1,1,0,1,0,1,1,1,A4
9,70,78,278,1,1,0,1,1,0,0,0,A4
4,17,118,209,1,1,0,1,1,0,0,1,A3
5,22,49,351,1,1,0,1,1,0,1,0,A4
7,28,192,114,1,1,0,1,1,0,1,1,A4
10,39,174,154,1,1,0,1,1,1,0,0,A4
4,16,70,250,1,1,0,1,1,1,0,1,A3
7,30,134,478,1,1,0,1,1,1,1,0,A4
8,64,72,383,1,1,0,1,1,1,1,1,A4
4,28,64,57,1,1,1,0,0,0,0,0,A4
5,19,43,230,1,1,1,0,0,0,0,1,A4
4,15,66,236,1,1,1,0,0,0,1,0,A4
2,17,37,67,1,1,1,0,0,0,1,1,A4
7,28,188,223,1,1,1,0,0,1,0,0,A4
3,24,54,48,1,1,1,0,0,1,0,1,A4
9,37,83,147,1,1,1,0,0,1,1,0,A4
3,26,89,158,1,1,1,0,0,1,1,1,A4
3,10,23,41,1,1,1,0,1,0,0,0,A4
5,22,148,262,1,1,1,0,1,0,0,1,A4
5,20,45,80,1,1,1,0,1,0,1,0,A4
3,20,23,160,1,1,1,0,1,0,1,1,A4
3,11,72,128,1,1,1,0,1,1,0,0,A4
6,46,154,183,1,1,1,0,1,1,0,1,A4
2,17,37,67,1,1,1,0,1,1,1,0,A4
7,58,66,350,1,1,1,0,1,1,1,1,A4
6,24,108,289,1,1,1,1,0,0,0,0,A4
7,54,61,325,1,1,1,1,0,0,0,1,A4
5,22,145,172,1,1,1,1,0,0,1,0,A4
2,9,21,75,1,1,1,1,0,0,1,1,A4
8,65,145,129,1,1,1,1,0,1,0,0,A4
6,44,50,264,1,1,1,1,0,1,0,1,A4
4,17,74,66,1,1,1,1,0,1,1,0,A4
4,30,103,182,1,1,1,1,0,1,1,1,A4
8,33,220,131,1,1,1,1,1,0,0,0,A4
3,12,54,95,1,1,1,1,1,0,0,1,A4
10,38,173,615,1,1,1,1,1,0,1,0,A4
7,29,195,347,1,1,1,1,1,0,1,1,A4
2,8,55,65,1,1,1,1,1,1,0,0,A4
3,22,50,132,1,1,1,1,1,1,0,1,A4
9,73,246,583,1,1,1,1,1,1,1,0,A4
5,19,42,151,1,1,1,1,1,1,1,1,A4
5,38,229,86,0,0,0,0,0,0,0,0,A3
1,2,35,5,0,0,0,0,0,0,0,1,A3
9,74,298,251,0,0,0,0,0,0,1,0,A3
5,18,146,123,0,0,0,0,0,0,1,1,A3
8,31,374,70,0,0,0,0,0,1,0,0,A3
2,18,37,62,0,0,0,0,0,1,0,1,A3
8,62,125,70,0,0,0,0,0,1,1,0,A3
6,23,275,103,0,0,0,0,0,1,1,1,A3
7,29,466,131,0,0,0,0,1,0,0,0,A3
10,79,314,88,0,0,0,0,1,0,0,1,A3
3,27,160,60,0,0,0,0,1,0,1,0,A3
8,65,262,221,0,0,0,0,1,0,1,1,A3
5,37,293,41,0,0,0,0,1,1,0,0,A3
2,14,56,16,0,0,0,0,1,1,0,1,A3
9,72,575,162,0,0,0,0,1,1,1,0,A3
4,15,59,33,0,0,0,0,1,1,1,1,A3
2,8,98,18,0,0,0,1,0,0,0,0,A3
1,4,64,27,0,0,0,1,0,0,0,1,A3
0,2,14,5,0,0,0,1,0,0,1,0,A3
5,21,251,94,0,0,0,1,0,0,1,1,A3
7,54,215,60,0,0,0,1,0,1,0,0,A3
8,32,387,218,0,0,0,1,0,1,0,1,A3
1,5,63,23,0,0,0,1,0,1,1,0,A3
3,10,80,68,0,0,0,1,0,1,1,1,A3
10,78,155,262,0,0,0,1,1,0,0,0,A3
10,39,311,262,0,0,0,1,1,0,0,1,A3
7,53,106,60,0,0,0,1,1,0,1,0,A3
7,27,217,183,0,0,0,1,1,0,1,1,A3
0,1,10,4,0,0,0,1,1,1,0,0,A3
3,11,44,74,0,0,0,1,1,1,0,1,A3
9,36,583,164,0,0,0,1,1,1,1,0,A3
7,57,114,128,0,0,0,1,1,1,1,1,A3
6,51,205,116,0,0,1,0,0,0,0,0,A3
1,2,25,14,0,0,1,0,0,0,0,1,A3
7,58,461,130,0,0,1,0,0,0,1,0,A4
9,70,279,236,0,0,1,0,0,0,1,1,A3
1,4,69,29,0,0,1,0,0,1,0,0,A3
2,15,91,34,0,0,1,0,0,1,0,1,A3
3,14,218,92,0,0,1,0,0,1,1,0,A4
1,4,35,10,0,0,1,0,0,1,1,1,A3
5,43,173,49,0,0,1,0,1,0,0,0,A3
4,16,65,109,0,0,1,0,1,0,0,1,A3
5,18,72,41,0,0,1,0,1,0,1,0,A4
4,16,129,73,0,0,1,0,1,0,1,1,A3
1,2,19,5,0,0,1,0,1,1,0,0,A3
8,68,135,76,0,0,1,0,1,1,0,1,A3
3,24,190,27,0,0,1,0,1,1,1,0,A4
1,9,38,21,0,0,1,0,1,1,1,1,A3
9,71,428,80,0,0,1,1,0,0,0,0,A3
1,11,23,26,0,0,1,1,0,0,0,1,A3
10,40,476,268,0,0,1,1,0,0,1,0,A3
9,71,141,79,0,0,1,1,0,0,1,1,A3
5,44,263,99,0,0,1,1,0,1,0,0,A3
1,6,70,39,0,0,1,1,0,1,0,1,A3
6,23,365,51,0,0,1,1,0,1,1,0,A3
7,28,335,63,0,0,1,1,0,1,1,1,A3
9,38,150,169,0,0,1,1,1,0,0,0,A3
7,54,322,181,0,0,1,1,1,0,0,1,A3
2,18,71,60,0,0,1,1,1,0,1,0,A3
5,21,250,47,0,0,1,1,1,0,1,1,A3
10,39,157,266,0,0,1,1,1,1,0,0,A3
6,24,386,163,0,0,1,1,1,1,0,1,A3
8,64,512,216,0,0,1,1,1,1,1,0,A3
4,29,172,64,0,0,1,1,1,1,1,1,A3
4,36,71,80,0,1,0,0,0,0,0,0,A3
1,6,12,14,0,1,0,0,0,0,0,1,A3
7,54,217,122,0,1,0,0,0,0,1,0,A3
10,79,471,265,0,1,0,0,0,0,1,1,A3
3,10,41,23,0,1,0,0,0,1,0,0,A3
6,23,182,153,0,1,0,0,0,1,0,1,A3
6,24,194,54,0,1,0,0,0,1,1,0,A3
7,30,476,201,0,1,0,0,0,1,1,1,A3
8,66,132,222,0,1,0,0,1,0,0,0,A3
6,23,187,105,0,1,0,0,1,0,0,1,A3
4,33,132,74,0,1,0,0,1,0,1,0,A3
4,16,129,36,0,1,0,0,1,0,1,1,A3
2,18,73,62,0,1,0,0,1,1,0,0,A3
7,29,343,193,0,1,0,0,1,1,0,1,A3
1,6,91,13,0,1,0,0,1,1,1,0,A3
9,37,598,168,0,1,0,0,1,1,1,1,A3
10,80,480,270,0,1,0,1,0,0,0,0,A3
7,54,327,184,0,1,0,1,0,0,0,1,A3
6,25,392,110,0,1,0,1,0,0,1,0,A3
9,34,136,230,0,1,0,1,0,0,1,1,A3
5,22,349,49,0,1,0,1,0,1,0,0,A3
5,41,166,93,0,1,0,1,0,1,0,1,A3
6,25,201,113,0,1,0,1,0,1,1,0,A3
2,8,66,55,0,1,0,1,0,1,1,1,A3
3,26,52,29,0,1,0,1,1,0,0,0,A3
0,0,1,1,0,1,0,1,1,0,0,1,A3
1,2,37,16,0,1,0,1,1,0,1,0,A3
2,7,78,15,0,1,0,1,1,0,1,1,A3
2,16,65,18,0,1,0,1,1,1,0,0,A3
9,36,142,160,0,1,0,1,1,1,0,1,A3
3,24,48,27,0,1,0,1,1,1,1,0,A3
4,15,62,104,0,1,0,1,1,1,1,1,A3
6,45,361,101,0,1,1,0,0,0,0,0,A3
3,23,91,26,0,1,1,0,0,0,0,1,A3
3,25,102,57,0,1,1,0,0,0,1,0,A4
6,24,378,106,0,1,1,0,0,0,1,1,A3
4,16,186,105,0,1,1,0,0,1,0,0,A3
6,52,103,174,0,1,1,0,0,1,0,1,A3
2,20,120,45,0,1,1,0,0,1,1,0,A4
8,65,129,218,0,1,1,0,0,1,1,1,A3
8,32,512,144,0,1,1,0,1,0,0,0,A3
6,25,303,171,0,1,1,0,1,0,0,1,A3
4,17,137,39,0,1,1,0,1,0,1,0,A4
6,22,177,150,0,1,1,0,1,0,1,1,A3
8,64,383,215,0,1,1,0,1,1,0,0,A3
5,19,304,43,0,1,1,0,1,1,0,1,A3
10,40,479,180,0,1,1,0,1,1,1,0,A4
4,29,233,33,0,1,1,0,1,1,1,1,A3
2,10,158,44,0,1,1,1,0,0,0,0,A3
8,34,403,227,0,1,1,1,0,0,0,1,A3
10,79,317,178,0,1,1,1,0,0,1,0,A3
2,9,144,61,0,1,1,1,0,0,1,1,A3
3,14,163,92,0,1,1,1,0,1,0,0,A3
8,33,400,75,0,1,1,1,0,1,0,1,A3
9,69,277,156,0,1,1,1,0,1,1,0,A3
1,2,25,14,0,1,1,1,0,1,1,1,A3
7,57,229,64,0,1,1,1,1,0,0,0,A3
6,22,268,151,0,1,1,1,1,0,0,1,A3
4,35,282,119,0,1,1,1,1,0,1,0,A3
0,3,6,10,0,1,1,1,1,0,1,1,A3
1,5,18,10,0,1,1,1,1,1,0,0,A3
5,21,169,143,0,1,1,1,1,1,0,1,A3
2,15,62,52,0,1,1,1,1,1,1,0,A3
10,79,631,266,0,1,1,1,1,1,1,1,A3
4,31,62,35,1,0,0,0,0,0,0,0,A3
8,33,393,147,1,0,0,0,0,0,0,1,A3
3,23,137,77,1,0,0,0,0,0,1,0,A3
2,10,157,44,1,0,0,0,0,0,1,1,A3
9,69,551,233,1,0,0,0,0,1,0,0,A3
8,63,126,141,1,0,0,0,0,1,0,1,A3
9,73,440,165,1,0,0,0,0,1,1,0,A3
6,50,399,112,1,0,0,0,0,1,1,1,A3
1,7,30,8,1,0,0,0,1,0,0,0,A3
8,66,395,148,1,0,0,0,1,0,0,1,A3
10,76,152,171,1,0,0,0,1,0,1,0,A3
6,26,103,116,1,0,0,0,1,0,1,1,A3
2,15,59,17,1,0,0,0,1,1,0,0,A3
6,23,181,153,1,0,0,0,1,1,0,1,A3
10,39,313,176,1,0,0,0,1,1,1,0,A3
3,23,181,51,1,0,0,0,1,1,1,1,A3
3,13,208,29,1,0,0,1,0,0,0,0,A3
4,16,128,108,1,0,0,1,0,0,0,1,A3
6,52,311,117,1,0,0,1,0,0,1,0,A3
4,30,239,101,1,0,0,1,0,0,1,1,A3
0,1,10,8,1,0,0,1,0,1,0,0,A3
10,77,463,87,1,0,0,1,0,1,0,1,A3
2,7,27,31,1,0,0,1,0,1,1,0,A3
7,27,424,119,1,0,0,1,0,1,1,1,A3
8,31,248,70,1,0,0,1,1,0,0,0,A3
0,1,2,1,1,0,0,1,1,0,0,1,A3
2,9,139,58,1,0,0,1,1,0,1,0,A3
2,10,120,67,1,0,0,1,1,0,1,1,A3
5,18,73,41,1,0,0,1,1,1,0,0,A3
0,4,7,8,1,0,0,1,1,1,0,1,A3
4,34,136,38,1,0,0,1,1,1,1,0,A3
9,35,140,158,1,0,0,1,1,1,1,1,A3
7,27,433,61,1,0,1,0,0,0,0,0,A3
9,38,602,169,1,0,1,0,0,0,0,1,A3
8,31,125,70,1,0,1,0,0,0,1,0,A4
9,34,137,231,1,0,1,0,0,0,1,1,A3
7,29,115,129,1,0,1,0,0,1,0,0,A3
5,42,254,48,1,0,1,0,0,1,0,1,A3
9,34,275,155,1,0,1,0,0,1,1,0,A4
2,9,75,21,1,0,1,0,0,1,1,1,A3
2,7,109,46,1,0,1,0,1,0,0,0,A3
7,54,218,61,1,0,1,0,1,0,0,1,A3
4,15,242,68,1,0,1,0,1,0,1,0,A4
6,48,291,163,1,0,1,0,1,0,1,1,A3
8,33,266,224,1,0,1,0,1,1,0,0,A3
3,21,166,70,1,0,1,0,1,1,0,1,A3
2,7,29,49,1,0,1,0,1,1,1,0,A4
3,20,41,46,1,0,1,0,1,1,1,1,A3
1,6,38,14,1,0,1,1,0,0,0,0,A3
2,7,29,48,1,0,1,1,0,0,0,1,A3
2,19,75,42,1,0,1,1,0,0,1,0,A3
2,14,110,15,1,0,1,1,0,0,1,1,A3
5,43,348,98,1,0,1,1,0,1,0,0,A3
8,34,408,229,1,0,1,1,0,1,0,1,A3
5,36,72,122,1,0,1,1,0,1,1,0,A3
9,34,275,232,1,0,1,1,0,1,1,1,A3
8,30,480,203,1,0,1,1,1,0,0,0,A3
8,31,369,138,1,0,1,1,1,0,0,1,A3
6,48,192,54,1,0,1,1,1,0,1,0,A3
3,20,164,46,1,0,1,1,1,0,1,1,A3
1,3,11,13,1,0,1,1,1,1,0,0,A3
7,55,437,184,1,0,1,1,1,1,0,1,A3
2,19,149,42,1,0,1,1,1,1,1,0,A3
3,10,40,68,1,0,1,1,1,1,1,1,A3
8,34,404,76,1,1,0,0,0,0,0,0,A3
1,5,10,5,1,1,0,0,0,0,0,1,A3
6,23,185,52,1,1,0,0,0,0,1,0,A3
5,19,76,43,1,1,0,0,0,0,1,1,A3
6,45,178,151,1,1,0,0,0,1,0,0,A3
8,31,491,69,1,1,0,0,0,1,0,1,A3
0,1,7,1,1,1,0,0,0,1,1,0,A3
2,9,70,39,1,1,0,0,0,1,1,1,A3
8,31,249,210,1,1,0,0,1,0,0,0,A3
6,23,93,53,1,1,0,0,1,0,0,1,A3
9,37,588,83,1,1,0,0,1,0,1,0,A3
4,16,63,71,1,1,0,0,1,0,1,1,A3
9,75,600,169,1,1,0,0,1,1,0,0,A3
9,38,453,170,1,1,0,0,1,1,0,1,A3
4,29,230,65,1,1,0,0,1,1,1,0,A3
0,1,5,3,1,1,0,0,1,1,1,1,A3
1,5,37,32,1,1,0,1,0,0,0,0,A3
0,1,10,3,1,1,0,1,0,0,0,1,A3
5,20,245,138,1,1,0,1,0,0,1,0,A3
3,20,40,68,1,1,0,1,0,0,1,1,A3
10,39,472,265,1,1,0,1,0,1,0,0,A3
9,36,434,244,1,1,0,1,0,1,0,1,A3
4,15,59,33,1,1,0,1,0,1,1,0,A3
2,19,38,43,1,1,0,1,0,1,1,1,A3
1,4,18,5,1,1,0,1,1,0,0,0,A3
6,24,284,106,1,1,0,1,1,0,0,1,A3
5,43,173,146,1,1,0,1,1,0,1,0,A3
8,61,245,69,1,1,0,1,1,0,1,1,A3
4,17,275,116,1,1,0,1,1,1,0,0,A3
4,29,58,98,1,1,0,1,1,1,0,1,A3
1,7,29,8,1,1,0,1,1,1,1,0,A3
7,58,465,131,1,1,0,1,1,1,1,1,A3
8,65,521,73,1,1,1,0,0,0,0,0,A3
6,25,294,110,1,1,1,0,0,0,0,1,A3
6,25,198,167,1,1,1,0,0,0,1,0,A4
7,26,417,176,1,1,1,0,0,0,1,1,A3
1,3,37,14,1,1,1,0,0,1,0,0,A3
1,2,38,5,1,1,1,0,0,1,0,1,A3
1,2,17,15,1,1,1,0,0,1,1,0,A4
7,59,355,67,1,1,1,0,0,1,1,1,A3
1,9,18,10,1,1,1,0,1,0,0,0,A3
2,19,150,63,1,1,1,0,1,0,0,1,A3
8,32,127,143,1,1,1,0,1,0,1,0,A4
8,68,271,229,1,1,1,0,1,0,1,1,A3
9,69,139,156,1,1,1,0,1,1,0,0,A3
3,20,120,68,1,1,1,0,1,1,0,1,A3
5,19,233,131,1,1,1,0,1,1,1,0,A4
6,23,372,52,1,1,1,0,1,1,1,1,A3
7,26,424,119,1,1,1,1,0,0,0,0,A3
3,22,44,74,1,1,1,1,0,0,0,1,A3
3,24,191,54,1,1,1,1,0,0,1,0,A3
8,62,248,209,1,1,1,1,0,0,1,1,A3
7,28,227,192,1,1,1,1,0,1,0,0,A3
1,5,59,33,1,1,1,1,0,1,0,1,A3
1,10,41,12,1,1,1,1,0,1,1,0,A3
5,42,250,47,1,1,1,1,0,1,1,1,A3
6,46,364,154,1,1,1,1,1,0,0,0,A3
3,21,125,47,1,1,1,1,1,0,0,1,A3
0,2,14,8,1,1,1,1,1,0,1,0,A3
2,17,34,19,1,1,1,1,1,0,1,1,A3
4,34,68,115,1,1,1,1,1,1,0,0,A3
3,25,102,86,1,1,1,1,1,1,0,1,A3
9,75,451,254,1,1,1,1,1,1,1,0,A3
3,12,199,84,1,1,1,1,1,1,1,1,A3
